iter	RMSE
0	37.80771626
1	36.93098329
2	36.03625513
3	35.29113513
4	34.54245413
5	33.86073543
6	33.25733132
7	32.63937422
8	32.09248043
9	31.54345601
10	31.02668176
11	30.60565977
12	30.23446925
13	29.80755599
14	29.42520715
15	29.01775263
16	28.71067219
17	28.37396355
18	28.08849535
19	27.84610828
20	27.59458157
21	27.34706792
22	27.11060262
23	26.86844376
24	26.67491189
25	26.4809172
26	26.27008973
27	26.08484057
28	25.90784149
29	25.74131108
30	25.53502013
31	25.39447426
32	25.26143813
33	25.11516703
34	24.96563791
35	24.84052446
36	24.73959358
37	24.63980315
38	24.51298149
39	24.40693562
40	24.30913623
41	24.20756215
42	24.12788055
43	24.00540866
44	23.93036939
45	23.83722801
46	23.75238454
47	23.68390117
48	23.61323772
49	23.60233501
50	23.54269152
51	23.4239563
52	23.35349366
53	23.29067262
54	23.22742762
55	23.18081421
56	23.12351035
57	23.07041708
58	23.06009522
59	22.99883816
60	22.95805081
61	22.92534765
62	22.84902938
63	22.83848941
64	22.79993368
65	22.76062711
66	22.70734561
67	22.67039254
68	22.63752528
69	22.62892441
70	22.56139971
71	22.55340005
72	22.54041001
73	22.5088191
74	22.48679842
75	22.45756645
76	22.41311676
77	22.39762286
78	22.39123803
79	22.35528485
80	22.34448877
81	22.31790366
82	22.26894459
83	22.26293006
84	22.22479178
85	22.18034933
86	22.12152769
87	22.10663348
88	22.04632041
89	22.03714081
90	22.0056033
91	21.96396049
92	21.92787268
93	21.89723281
94	21.86182548
95	21.85701471
96	21.82011248
97	21.78618864
98	21.74192161
99	21.71399084
100	21.70058148
101	21.68541535
102	21.66816891
103	21.62503591
104	21.60936778
105	21.57118524
106	21.56327721
107	21.51808311
108	21.47200581
109	21.44324157
110	21.41503617
111	21.38102389
112	21.34536566
113	21.30886714
114	21.2736472
115	21.23170865
116	21.20325177
117	21.15983482
118	21.13157216
119	21.0880547
120	21.07322296
121	21.05807778
122	21.03162515
123	21.00254986
124	20.9803473
125	20.97686462
126	20.97371093
127	20.94692758
128	20.94298547
129	20.92416191
130	20.87839972
131	20.85554999
132	20.83740286
133	20.81364574
134	20.80601655
135	20.78648294
136	20.74306283
137	20.7095469
138	20.69374748
139	20.6725916
140	20.66211746
141	20.64135132
142	20.60883111
143	20.59114544
144	20.57111273
145	20.55008957
146	20.53449279
147	20.52091209
148	20.48810138
149	20.4735501
150	20.44466152
151	20.40727357
152	20.38779464
153	20.35248594
154	20.32367082
155	20.3080446
156	20.28023164
157	20.26483212
158	20.23617779
159	20.21823335
160	20.19300974
161	20.16320393
162	20.14612588
163	20.12755152
164	20.11281243
165	20.09821683
166	20.06101141
167	20.03927371
168	20.01847633
169	19.99522799
170	19.97111938
171	19.95142091
172	19.91815289
173	19.90589594
174	19.88896143
175	19.85715662
176	19.83784538
177	19.81307753
178	19.79253125
179	19.76491234
180	19.75397628
181	19.72710621
182	19.6971129
183	19.67461815
184	19.64229363
185	19.62678473
186	19.61732625
187	19.58708067
188	19.56240886
189	19.53039423
190	19.52031921
191	19.49467834
192	19.48898147
193	19.46855612
194	19.44275236
195	19.42051952
196	19.39148008
197	19.36732157
198	19.34400852
199	19.30598793
200	19.27799565
201	19.24614934
202	19.24048384
203	19.22816951
204	19.19543738
205	19.17850217
206	19.15698097
207	19.13312965
208	19.10774421
209	19.07989475
210	19.05799206
211	19.01712197
212	19.0014756
213	18.96327239
214	18.95309518
215	18.93479778
216	18.90434732
217	18.88999485
218	18.8749856
219	18.84807785
220	18.8268666
221	18.82336351
222	18.79643695
223	18.76872062
224	18.75999951
225	18.7226369
226	18.69881419
227	18.68584391
228	18.6825579
229	18.66015597
230	18.63575756
231	18.63377434
232	18.60969912
233	18.59692684
234	18.57094579
235	18.5487906
236	18.52853434
237	18.5073277
238	18.4820692
239	18.46182868
240	18.44081077
241	18.41172316
242	18.39541778
243	18.39338542
244	18.37311578
245	18.34476787
246	18.3235423
247	18.30006017
248	18.29849149
249	18.27651662
250	18.25566014
251	18.22857128
252	18.20672226
253	18.19032123
254	18.17150489
255	18.15122876
256	18.13065656
257	18.09908303
258	18.07347514
259	18.06272336
260	18.06134111
261	18.03276497
262	18.01353046
263	18.01215526
264	17.99356118
265	17.97458709
266	17.96515097
267	17.94215622
268	17.94086713
269	17.92042657
270	17.89650732
271	17.87583811
272	17.8639668
273	17.84670601
274	17.83298551
275	17.83177976
276	17.81437126
277	17.79810793
278	17.78192082
279	17.75464542
280	17.72697173
281	17.70655679
282	17.68285972
283	17.66470089
284	17.64690193
285	17.62911173
286	17.6279862
287	17.61104326
288	17.58808792
289	17.5869516
290	17.56340063
291	17.54706594
292	17.52934462
293	17.51124514
294	17.48862299
295	17.4717866
296	17.44728424
297	17.43468986
298	17.41700208
299	17.39495813
300	17.37746925
301	17.36065713
302	17.33422462
303	17.31500923
304	17.29685971
305	17.27070048
306	17.25684917
307	17.24413921
308	17.23343045
309	17.21918538
310	17.2037615
311	17.17392216
312	17.15332239
313	17.13803953
314	17.10632907
315	17.10524938
316	17.08645699
317	17.06809688
318	17.06705486
319	17.03899703
320	17.02292667
321	17.00664379
322	16.9875336
323	16.97254366
324	16.94455038
325	16.92205624
326	16.91131871
327	16.89228232
328	16.87896685
329	16.8629704
330	16.84577317
331	16.82254663
332	16.80718497
333	16.79249495
334	16.77886128
335	16.7584417
336	16.74497789
337	16.73229073
338	16.73132418
339	16.7167038
340	16.70182868
341	16.6887074
342	16.67340997
343	16.66319654
344	16.65095857
345	16.6358321
346	16.61825199
347	16.6076078
348	16.59100931
349	16.57357835
350	16.56022302
351	16.54075769
352	16.52788083
353	16.50597495
354	16.49415888
355	16.47325814
356	16.44850223
357	16.42522583
358	16.41683492
359	16.39996367
360	16.38491746
361	16.36963348
362	16.34979165
363	16.32754474
364	16.31658147
365	16.29965878
366	16.27982585
367	16.26491157
368	16.25243325
369	16.24304497
370	16.2208748
371	16.19948199
372	16.1762675
373	16.15745385
374	16.13421921
375	16.12163424
376	16.10824399
377	16.0898006
378	16.07934171
379	16.06328062
380	16.04608076
381	16.03055377
382	16.02958163
383	16.01084084
384	15.99056943
385	15.97329507
386	15.95895509
387	15.95800632
388	15.93217971
389	15.93125571
390	15.91156061
391	15.89492146
392	15.87871214
393	15.87795211
394	15.86668077
395	15.85366189
396	15.84127483
397	15.83461884
398	15.83383059
399	15.81094929
400	15.80395807
401	15.78852831
402	15.77509483
403	15.77253395
404	15.7554104
405	15.75458661
406	15.73551798
407	15.71752474
408	15.71010297
409	15.69712156
410	15.68068821
411	15.66984181
412	15.65803719
413	15.64560599
414	15.62346321
415	15.60634991
416	15.59322551
417	15.57893048
418	15.56455696
419	15.56378136
420	15.54954358
421	15.53868947
422	15.51620111
423	15.50292609
424	15.48421895
425	15.47228754
426	15.45896192
427	15.43998959
428	15.42720888
429	15.41799009
430	15.3993928
431	15.37901387
432	15.36319223
433	15.34888264
434	15.34035886
435	15.32076871
436	15.30001024
437	15.28171985
438	15.26763674
439	15.25184915
440	15.2386212
441	15.23104167
442	15.22072371
443	15.21110154
444	15.19592798
445	15.19430528
446	15.18257515
447	15.1697548
448	15.16023043
449	15.15810674
450	15.14890992
451	15.13433924
452	15.1222196
453	15.10683119
454	15.09727556
455	15.08458269
456	15.06652345
457	15.06249194
458	15.06181031
459	15.04566626
460	15.02658912
461	15.01382986
462	15.01140771
463	15.00101935
464	14.99198131
465	14.97790651
466	14.96844508
467	14.95300384
468	14.93699804
469	14.93400205
470	14.9244101
471	14.92375694
472	14.91203626
473	14.89605022
474	14.88182098
475	14.86836508
476	14.8538984
477	14.85272657
478	14.84036393
479	14.83056662
480	14.81309854
481	14.79565129
482	14.78359263
483	14.77360388
484	14.75956928
485	14.7399766
486	14.72070237
487	14.70783131
488	14.69167314
489	14.67446265
490	14.66417023
491	14.65313861
492	14.64297246
493	14.62789472
494	14.61402494
495	14.59706117
496	14.57931896
497	14.5664806
498	14.55318052
499	14.53430582
500	14.53008524
501	14.51398662
502	14.49852776
503	14.48460416
504	14.47794041
505	14.46668898
506	14.46033572
507	14.45029099
508	14.43659873
509	14.42949013
510	14.4202871
