iter	Passed	Remaining
0	32	32033
1	103	51414
2	129	42934
3	142	35378
4	179	35731
5	191	31772
6	208	29570
7	221	27453
8	234	25820
9	248	24590
10	262	23597
11	275	22715
12	289	21949
13	300	21139
14	311	20483
15	321	19783
16	337	19495
17	358	19531
18	371	19188
19	381	18689
20	390	18219
21	400	17800
22	410	17434
23	419	17072
24	429	16748
25	438	16436
26	448	16151
27	458	15904
28	467	15668
29	481	15567
30	491	15363
31	500	15150
32	510	14956
33	521	14827
34	531	14646
35	540	14485
36	550	14339
37	560	14179
38	569	14041
39	580	13932
40	589	13788
41	599	13681
42	609	13562
43	618	13437
44	628	13330
45	637	13214
46	646	13116
47	657	13033
48	665	12925
49	676	12852
50	685	12758
51	694	12665
52	705	12597
53	714	12509
54	724	12440
55	733	12371
56	742	12290
57	753	12230
58	761	12149
59	771	12084
60	781	12024
61	790	11954
62	801	11924
63	812	11880
64	821	11813
65	832	11781
66	841	11724
67	852	11677
68	861	11628
69	870	11570
70	880	11518
71	889	11467
72	899	11426
73	909	11382
74	918	11330
75	936	11384
76	953	11429
77	967	11441
78	1014	11827
79	1049	12066
80	1069	12133
81	1100	12320
82	1109	12262
83	1119	12205
84	1128	12147
85	1138	12099
86	1148	12056
87	1157	12000
88	1167	11949
89	1176	11895
90	1186	11852
91	1196	11808
92	1205	11759
93	1215	11714
94	1227	11689
95	1238	11660
96	1248	11626
97	1258	11587
98	1268	11542
99	1279	11514
100	1289	11479
101	1299	11436
102	1308	11393
103	1318	11361
104	1327	11315
105	1337	11280
106	1346	11234
107	1355	11194
108	1366	11172
109	1376	11134
110	1385	11097
111	1398	11089
112	1409	11061
113	1418	11021
114	1428	10989
115	1437	10951
116	1446	10919
117	1457	10891
118	1469	10877
119	1478	10845
120	1488	10816
121	1497	10778
122	1507	10747
123	1517	10722
124	1527	10690
125	1536	10659
126	1539	10580
127	1548	10551
128	1557	10516
129	1567	10487
130	1576	10455
131	1585	10425
132	1595	10399
133	1604	10369
134	1614	10343
135	1623	10315
136	1633	10286
137	1642	10261
138	1651	10231
139	1661	10205
140	1670	10177
141	1679	10149
142	1689	10126
143	1698	10096
144	1708	10076
145	1718	10049
146	1728	10030
147	1738	10006
148	1747	9982
149	1756	9954
150	1767	9939
151	1778	9920
152	1788	9902
153	1799	9883
154	1808	9861
155	1818	9836
156	1827	9814
157	1838	9799
158	1848	9774
159	1857	9752
160	1867	9730
161	1876	9708
162	1886	9685
163	1895	9662
164	1906	9646
165	1915	9625
166	1925	9604
167	1934	9582
168	1944	9560
169	1953	9535
170	1965	9528
171	1977	9521
172	1989	9510
173	1998	9487
174	2008	9467
175	2017	9445
176	2027	9428
177	2038	9413
178	2052	9412
179	2063	9401
180	2075	9391
181	2089	9391
182	2102	9385
183	2114	9375
184	2126	9366
185	2139	9364
186	2152	9356
187	2164	9348
188	2176	9338
189	2188	9328
190	2200	9319
191	2213	9313
192	2227	9313
193	2240	9307
194	2252	9300
195	2267	9301
196	2279	9290
197	2292	9285
198	2305	9280
199	2318	9272
200	2330	9262
201	2341	9251
202	2353	9240
203	2368	9240
204	2380	9232
205	2394	9229
206	2406	9220
207	2418	9209
208	2431	9202
209	2446	9204
210	2462	9207
211	2475	9201
212	2488	9193
213	2501	9187
214	2514	9180
215	2525	9167
216	2538	9159
217	2551	9151
218	2563	9141
219	2576	9134
220	2588	9123
221	2600	9114
222	2612	9104
223	2624	9090
224	2635	9078
225	2648	9070
226	2661	9063
227	2673	9053
228	2685	9042
229	2697	9031
230	2711	9026
231	2724	9017
232	2736	9008
233	2750	9002
234	2763	8996
235	2777	8990
236	2788	8978
237	2802	8972
238	2818	8972
239	2832	8970
240	2850	8976
241	2863	8968
242	2875	8957
243	2887	8946
244	2900	8938
245	2912	8926
246	2926	8920
247	2938	8909
248	2950	8898
249	2962	8888
250	2975	8878
251	2986	8864
252	3003	8868
253	3019	8869
254	3032	8858
255	3046	8855
256	3059	8844
257	3071	8834
258	3083	8823
259	3095	8809
260	3108	8800
261	3120	8790
262	3133	8779
263	3144	8766
264	3155	8752
265	3168	8742
266	3180	8731
267	3193	8721
268	3204	8707
269	3216	8697
270	3229	8688
271	3242	8678
272	3256	8672
273	3272	8671
274	3285	8660
275	3297	8650
276	3313	8648
277	3328	8645
278	3344	8644
279	3361	8642
280	3379	8647
281	3395	8646
282	3412	8644
283	3426	8639
284	3442	8635
285	3457	8632
286	3471	8625
287	3487	8621
288	3502	8615
289	3516	8609
290	3528	8596
291	3539	8583
292	3552	8572
293	3564	8558
294	3577	8549
295	3589	8536
296	3602	8526
297	3615	8516
298	3627	8504
299	3639	8491
300	3651	8478
301	3663	8466
302	3675	8455
303	3688	8445
304	3700	8431
305	3711	8417
306	3723	8405
307	3738	8398
308	3752	8391
309	3764	8379
310	3777	8368
311	3788	8354
312	3802	8346
313	3814	8333
314	3826	8321
315	3838	8309
316	3850	8295
317	3863	8285
318	3875	8273
319	3887	8261
320	3900	8250
321	3912	8237
322	3925	8227
323	3937	8215
324	3950	8204
325	3962	8191
326	3973	8177
327	3985	8166
328	3998	8155
329	4012	8146
330	4025	8135
331	4040	8129
332	4054	8122
333	4066	8108
334	4078	8095
335	4091	8086
336	4105	8076
337	4118	8065
338	4129	8051
339	4141	8039
340	4153	8026
341	4166	8015
342	4178	8002
343	4190	7990
344	4201	7976
345	4213	7963
346	4225	7951
347	4237	7938
348	4250	7927
349	4263	7917
350	4277	7909
351	4289	7897
352	4301	7884
353	4314	7872
354	4326	7860
355	4339	7849
356	4351	7837
357	4363	7825
358	4375	7812
359	4387	7799
360	4399	7786
361	4410	7773
362	4422	7761
363	4435	7749
364	4447	7736
365	4459	7725
366	4472	7714
367	4483	7700
368	4494	7686
369	4508	7677
370	4521	7665
371	4533	7654
372	4545	7640
373	4556	7627
374	4569	7615
375	4581	7603
376	4593	7590
377	4605	7577
378	4615	7562
379	4627	7549
380	4639	7536
381	4649	7521
382	4660	7507
383	4672	7494
384	4682	7480
385	4693	7466
386	4705	7452
387	4716	7439
388	4729	7428
389	4740	7414
390	4751	7401
391	4763	7388
392	4774	7374
393	4785	7360
394	4796	7347
395	4808	7333
396	4819	7319
397	4829	7305
398	4841	7291
399	4851	7277
400	4862	7263
401	4874	7251
402	4886	7238
403	4897	7224
404	4908	7210
405	4918	7196
406	4929	7182
407	4939	7167
408	4950	7153
